0,255,255,255
400,36,193,185
309,36,25,210
301,48,67,199
302,41,70,228
308,75,70,189
303,40,69,180
311,40,37,207
306,51,116,204
307,47,92,178
310,87,153,220
300,92,90,226
305,39,94,217
304,76,69,185
313,35,117,215
312,64,62,204
207,197,196,47
201,183,180,66
200,180,182,19
203,199,203,52
206,202,206,39
202,210,202,79
205,199,195,23
204,199,199,45
108,41,212,42
100,59,182,35
112,85,219,38
120,36,182,31
118,41,196,24
102,23,190,38
104,97,183,71
105,78,211,114
116,73,186,53
106,102,215,57
109,77,187,34
111,85,224,114
119,54,195,98
101,80,219,52
103,66,209,68
115,29,207,67
114,108,191,69
110,72,194,40
117,29,228,36
113,71,199,99
107,65,199,73
16,191,44,30
18,223,64,28
2,203,56,46
9,228,92,49
5,207,91,57
8,217,56,23
4,200,78,77
19,206,72,47
11,220,117,85
15,189,53,26
20,201,104,75
1,178,46,38
17,229,73,54
6,178,74,52
7,206,54,53
3,226,73,34
13,208,99,71
14,203,49,44
10,189,71,50
12,227,84,62
