0,255,255,255
403,36,197,175
400,35,207,224
410,76,206,188
416,88,224,205
412,63,197,197
408,25,183,175
413,30,213,212
401,27,207,202
411,75,198,215
407,30,183,161
402,43,193,216
414,70,191,206
404,51,221,213
405,34,217,198
409,24,190,201
415,69,221,213
406,43,177,185
337,81,126,204
341,20,89,181
365,77,135,201
352,45,73,218
325,83,65,191
334,29,75,217
339,30,22,187
309,25,35,198
320,72,55,203
321,88,153,224
301,28,104,199
330,38,49,183
350,54,118,200
302,34,51,199
335,74,63,229
355,42,100,204
361,34,72,209
353,49,22,217
354,42,104,224
348,35,81,183
351,76,92,226
308,76,89,221
347,33,29,214
315,83,84,209
317,25,52,213
343,28,93,184
345,24,85,206
336,71,63,179
360,45,88,214
323,33,86,202
303,58,42,188
318,41,52,210
327,70,46,196
349,60,79,208
331,66,107,210
311,31,94,180
356,61,73,205
306,53,86,182
362,26,97,214
307,26,90,223
326,56,83,193
310,21,38,188
300,67,90,211
333,27,49,197
366,51,48,229
340,74,91,210
305,69,101,198
304,36,62,210
346,56,58,202
314,82,84,224
359,34,103,183
316,87,70,202
338,64,95,205
328,34,106,183
357,42,25,183
313,25,48,207
363,53,81,203
358,21,33,194
312,69,77,179
324,64,105,228
342,56,118,204
319,72,88,223
344,40,71,209
332,43,99,188
329,45,112,213
364,84,97,213
322,90,66,228
201,218,228,50
200,199,190,57
203,189,190,75
202,205,192,30
108,25,214,81
100,95,199,52
102,88,228,81
104,79,222,32
105,87,229,24
106,57,229,23
101,90,181,52
103,92,224,32
107,85,215,33
16,214,66,42
18,227,97,67
2,187,66,42
9,212,41,32
5,212,90,55
8,201,97,68
4,190,101,71
19,203,74,60
11,202,81,49
15,208,84,74
1,194,62,55
17,209,85,72
6,218,59,45
7,205,66,25
3,193,62,26
13,216,83,49
14,180,81,51
10,205,35,30
12,214,63,59
